order_id,symbol,side,timestamp_entry,timestamp_exit,entry_price,exit_price,qty,fee_usd,pnl_usd,source
crp_flow_1773054121,FLOW,BUY,2026-03-09T11:02:01Z,2026-03-09T11:10:01Z,0.046735,0.047504,641.91444564,0.030494,0.463138,sim_orders
crp_flow_1773054721,FLOW,BUY,2026-03-09T11:12:01Z,2026-03-09T11:16:01Z,0.046406,0.047289,646.46506438,0.030571,0.540258,sim_orders
crp_eth_1773054481,ETH,BUY,2026-03-09T11:08:01Z,2026-03-09T11:20:01Z,1997.91,1988.36,0.01501569,0.029857,-0.173257,sim_orders
crp_flow_1773055081,FLOW,BUY,2026-03-09T11:18:01Z,2026-03-09T11:24:01Z,0.046329,0.046826,647.53824307,0.030322,0.291505,sim_orders
crp_eth_1773056521,ETH,BUY,2026-03-09T11:42:01Z,2026-03-09T11:54:01Z,1990.68,1990.19,0.01507023,0.029993,-0.037377,sim_orders
crp_eth_1773057361,ETH,BUY,2026-03-09T11:56:01Z,2026-03-09T12:08:01Z,1993.13,1992.54,0.0150517,0.029991,-0.038872,sim_orders
crp_eth_1773058081,ETH,BUY,2026-03-09T12:08:01Z,2026-03-09T12:20:01Z,1992.54,1998.85,0.01505616,0.030095,0.064909,sim_orders
crp_eth_1773058801,ETH,BUY,2026-03-09T12:20:01Z,2026-03-09T12:32:01Z,1998.85,2006.79,0.01500863,0.030119,0.08905,sim_orders
crp_btc_1773103561,BTC,BUY,2026-03-10T00:46:01Z,2026-03-10T00:58:01Z,69166.0,69101.0,0.00043374,0.029972,-0.058165,sim_orders
crp_avax_1773103561,AVAX,BUY,2026-03-10T00:46:01Z,2026-03-10T00:58:01Z,9.35,9.34,3.20855615,0.029968,-0.062054,sim_orders
crp_ada_1773103681,ADA,BUY,2026-03-10T00:48:01Z,2026-03-10T01:00:01Z,0.258216,0.2579,116.18180128,0.029963,-0.066676,sim_orders
crp_xrp_1773157681,XRP,BUY,2026-03-10T15:48:01Z,2026-03-10T15:58:02Z,1.43,1.42,20.97902098,0.02979,-0.23958,sim_orders
crp_eth_1773157681,ETH,BUY,2026-03-10T15:48:01Z,2026-03-10T16:00:02Z,2071.69,2077.5,0.01448093,0.030084,0.05405,sim_orders
crp_sui_1773157681,SUI,BUY,2026-03-10T15:48:01Z,2026-03-10T16:00:02Z,0.990375,0.993867,30.29155623,0.030106,0.075672,sim_orders
crp_fet_1773157681,FET,BUY,2026-03-10T15:48:01Z,2026-03-10T16:00:02Z,0.150761,0.150712,198.99045509,0.02999,-0.039741,sim_orders
crp_btc_1773157681,BTC,BUY,2026-03-10T15:48:01Z,2026-03-10T16:00:02Z,71196.0,71256.0,0.00042137,0.030025,-0.004743,sim_orders
crp_avax_1773157681,AVAX,BUY,2026-03-10T15:48:01Z,2026-03-10T16:00:02Z,9.67,9.7,3.10237849,0.030093,0.062978,sim_orders
crp_sol_1773157681,SOL,BUY,2026-03-10T15:48:01Z,2026-03-10T16:00:02Z,87.86,87.9,0.34145231,0.030014,-0.016356,sim_orders
crp_render_1773157921,RENDER,BUY,2026-03-10T15:52:01Z,2026-03-10T16:04:02Z,1.5,1.52,20.0,0.0304,0.3696,sim_orders
crp_eth_1773158402,ETH,BUY,2026-03-10T16:00:02Z,2026-03-10T16:13:01Z,2077.5,2073.1,0.01444043,0.029936,-0.093474,sim_orders
crp_sui_1773158402,SUI,BUY,2026-03-10T16:00:02Z,2026-03-10T16:13:01Z,0.993867,0.994567,30.18512537,0.030021,-0.008891,sim_orders
crp_fet_1773158402,FET,BUY,2026-03-10T16:00:02Z,2026-03-10T16:13:01Z,0.150712,0.150738,199.05515155,0.030005,-0.02483,sim_orders
crp_btc_1773158402,BTC,BUY,2026-03-10T16:00:02Z,2026-03-10T16:13:01Z,71256.0,71139.0,0.00042102,0.029951,-0.07921,sim_orders
crp_avax_1773158402,AVAX,BUY,2026-03-10T16:00:02Z,2026-03-10T16:13:01Z,9.7,9.72,3.09278351,0.030062,0.031794,sim_orders
crp_sol_1773158402,SOL,BUY,2026-03-10T16:00:02Z,2026-03-10T16:13:01Z,87.9,87.96,0.34129693,0.03002,-0.009542,sim_orders
crp_xrp_1773158522,XRP,BUY,2026-03-10T16:02:02Z,2026-03-10T16:15:01Z,1.43,1.43,20.97902098,0.03,-0.03,sim_orders
crp_link_1773158522,LINK,BUY,2026-03-10T16:02:02Z,2026-03-10T16:15:01Z,9.12,9.11,3.28947368,0.029967,-0.062862,sim_orders
crp_bnb_1773159121,BNB,BUY,2026-03-10T16:12:01Z,2026-03-10T16:24:01Z,649.19,650.89,0.04621143,0.030079,0.04848,sim_orders
crp_sui_1773159181,SUI,BUY,2026-03-10T16:13:01Z,2026-03-10T16:25:01Z,0.994567,1.0,30.16388036,0.030164,0.133716,sim_orders
crp_avax_1773159181,AVAX,BUY,2026-03-10T16:13:01Z,2026-03-10T16:25:01Z,9.72,9.76,3.08641975,0.030123,0.093334,sim_orders
crp_eth_1773159181,ETH,BUY,2026-03-10T16:13:01Z,2026-03-10T16:25:01Z,2073.1,2082.08,0.01447108,0.03013,0.09982,sim_orders
crp_sol_1773159181,SOL,BUY,2026-03-10T16:13:01Z,2026-03-10T16:25:01Z,87.96,88.09,0.34106412,0.030044,0.014294,sim_orders
crp_link_1773159481,LINK,BUY,2026-03-10T16:18:01Z,2026-03-10T16:30:01Z,9.11,9.16,3.29308452,0.030165,0.134489,sim_orders
crp_avax_1773159901,AVAX,BUY,2026-03-10T16:25:01Z,2026-03-10T16:30:01Z,9.76,9.86,3.07377049,0.030307,0.27707,sim_orders
crp_xrp_1773159601,XRP,BUY,2026-03-10T16:20:01Z,2026-03-10T16:32:01Z,1.43,1.43,20.97902098,0.03,-0.03,sim_orders
crp_btc_1773159601,BTC,BUY,2026-03-10T16:20:01Z,2026-03-10T16:32:01Z,71335.0,71371.0,0.00042055,0.030015,-0.014875,sim_orders
crp_ada_1773159601,ADA,BUY,2026-03-10T16:20:01Z,2026-03-10T16:32:01Z,0.270738,0.27265,110.80823527,0.030212,0.181653,sim_orders
crp_bnb_1773159841,BNB,BUY,2026-03-10T16:24:01Z,2026-03-10T16:36:01Z,650.89,650.34,0.04609074,0.029975,-0.055325,sim_orders
crp_sui_1773159901,SUI,BUY,2026-03-10T16:25:01Z,2026-03-10T16:37:01Z,1.0,0.998556,30.0,0.029957,-0.073277,sim_orders
crp_eth_1773159901,ETH,BUY,2026-03-10T16:25:01Z,2026-03-10T16:37:01Z,2082.08,2079.17,0.01440867,0.029958,-0.071887,sim_orders
crp_render_1773171901,RENDER,BUY,2026-03-10T19:45:01Z,2026-03-10T19:57:01Z,1.49,1.49,20.13422819,0.03,-0.03,sim_orders
crp_doge_1773171901,DOGE,BUY,2026-03-10T19:45:01Z,2026-03-10T19:57:01Z,0.094804,0.094701,316.4423442,0.029967,-0.062561,sim_orders
crp_render_1773172621,RENDER,BUY,2026-03-10T19:57:01Z,2026-03-10T20:09:02Z,1.49,1.5,20.13422819,0.030201,0.171141,sim_orders
crp_doge_1773172621,DOGE,BUY,2026-03-10T19:57:01Z,2026-03-10T20:09:02Z,0.094701,0.094786,316.78651757,0.030027,-0.0031,sim_orders
crp_render_1773173342,RENDER,BUY,2026-03-10T20:09:02Z,2026-03-10T20:16:02Z,1.5,1.49,20.0,0.0298,-0.2298,sim_orders
crp_doge_1773173342,DOGE,BUY,2026-03-10T20:09:02Z,2026-03-10T20:21:02Z,0.094786,0.094602,316.50243707,0.029942,-0.088178,sim_orders
crp_render_1773173762,RENDER,BUY,2026-03-10T20:16:02Z,2026-03-10T20:29:01Z,1.49,1.5,20.13422819,0.030201,0.171141,sim_orders
crp_doge_1773174062,DOGE,BUY,2026-03-10T20:21:02Z,2026-03-10T20:34:01Z,0.094602,0.094693,317.11803133,0.030029,-0.001171,sim_orders
crp_render_1773174541,RENDER,BUY,2026-03-10T20:29:01Z,2026-03-10T20:41:01Z,1.5,1.5,20.0,0.03,-0.03,sim_orders
crp_doge_1773174841,DOGE,BUY,2026-03-10T20:34:01Z,2026-03-10T20:46:01Z,0.094693,0.094735,316.81328081,0.030013,-0.016707,sim_orders
crp_render_1773175261,RENDER,BUY,2026-03-10T20:41:01Z,2026-03-10T20:53:01Z,1.5,1.5,20.0,0.03,-0.03,sim_orders
crp_doge_1773175561,DOGE,BUY,2026-03-10T20:46:01Z,2026-03-10T20:58:01Z,0.094735,0.094902,316.67282419,0.030053,0.022831,sim_orders
crp_btc_1773175561,BTC,BUY,2026-03-10T20:46:01Z,2026-03-10T20:58:01Z,70241.0,70259.0,0.0004271,0.030008,-0.02232,sim_orders
crp_render_1773175981,RENDER,BUY,2026-03-10T20:53:01Z,2026-03-10T21:05:01Z,1.5,1.5,20.0,0.03,-0.03,sim_orders
